,title,Volume,Issue,Pages,whole__author_name,simply_author_name,reprint author,DOI,reprint address,Abstract,Keywords,Document Type,Publisher,Research Domain,Published Date,impact_factor,Keywords_plus,joural,pdf_link,Download_SuccessOrDefeat
1,Classification of Reflection High-Energy Electron Diffraction Pattern Using Machine Learning,20,8,5289-5293,"Kwoen Jinkwan,Arakawa Yasuhiko","Kwoen J,Arakawa Y",Kwoen J,10.1021/acs.cgd.0c00506,University of Tokyo,"Reflection high-energy electron diffraction (RHEED) has wide application because it allows in situ observation of the sample surface behavior during molecular beam epitaxy growth. In particular, the RHEED pattern has been used as a milestone for growth condition calibration because it dynamically changes depending on the sample temperature, material supply rate, and supply ratio. However, RHEED pattern analysis depends on the accumulated know-how of the operator and has a time limitation; thus, its application to real-time feedback control is difficult. Moreover, with the conventional computerization method, it is difficult to correctly reflect and recognize the changes in RHEED due to changes in the observation conditions. On the other hand, the machine learning method using the convolutional neural network (CNN) recognizes feature points in the input database and is suitable for the classification of images with variability. In this study, we propose a measurement method for identifying the RHEED pattern of GaAs substrates during continuous rotation and build a data set of the growth conditions. A classification model is established by training the deep learning model using CNN, and is found to be more than 99% accurate. This is expected to be useful in the field of highquality III-V growth on GaAs.","GAAS,GROWTH,OSCILLATIONS,SI",Article,"AMER CHEMICAL SOC, 1155 16TH ST, NW, WASHINGTON, DC 20036 USA","Chemistry,Crystallography,Materials Science",,3.924,"GAAS,GROWTH,OSCILLATIONS,SI",CRYSTAL GROWTH & DESIGN,,
2,Data-Driven Materials Discovery from Large Chemistry Spaces,3,2,327-328,Tanaka Isao,Tanaka I,Tanaka I,10.1016/j.matt.2020.07.010,Kyoto University,"Materials discovery often triggers new technological innovations and is therefore an exciting topic in materials research. In order to search a large chemistry space, however, lengthy trial-and-error testing is required. Recently, a Canadian research team devised a novel representation scheme for perovskite alloys. Combined with machine-learning methods, it enables efficient exploration of a large chemistry space with reasonable accuracy.",,Editorial Material,"ELSEVIER, RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",Materials Science,,15.589,,MATTER,https://www.cell.com/matter/pdf/S2590-2385(20)30368-4.pdf,
3,AI Applications through the Whole Life Cycle of Material Discovery,3,2,393-432,"Li Jiali,Lim Kaizhuo,Yang Haitao,Ren Zekun,Raghavan Shreyaa,Chen Po-Yen,Buonassisi Tonio,Wang Xiaonan","Li JL,Lim K,Yang HT,Ren ZK,Raghavan S,Chen PY,Buonassisi T,Wang XN",Wang XN,10.1016/j.matt.2020.06.011,National University of Singapore,"We provide a review of machine learning (ML) tools for material discovery and sophisticated applications of different ML strategies. Although there have been a few published reviews on artificial intelligence (AI) for materials with an emphasis on a single material system or individual methods, this paper focuses on an application-based perspective in AI-enhanced material discovery. It shows how AI strategies are applied through material discovery stages (including characterization, property prediction, synthesis, and theory paradigm discovery). Also, by referring to the ML tutorial, readers can acquire a better understanding of the exact functions of ML methods in each application and how these methods work to realize the targets. We are aiming to enable a better integration of AI methods with the material discovery process. The keys to successful applications of AI in material discovery and challenges to be addressed are also highlighted.","NEURAL-NETWORKS,DECISION TREES,MACHINE,DESIGN,REDUCTION,CLASSIFICATION,PREDICTIONS,INSIGHTS,MODEL,EBSD",Review,"ELSEVIER, RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",Materials Science,,15.589,"NEURAL-NETWORKS,DECISION,TREES,MACHINE,DESIGN,REDUCTION,CLASSIFICATION,PREDICTIONS,INSIGHTS,MODEL,EBSD",MATTER,https://www.cell.com/matter/pdf/S2590-2385(20)30301-5.pdf,
4,Crystal Site Feature Embedding Enables Exploration of Large Chemical Spaces,3,2,433-448,"Choubisa Hitarth,Askerka Mikhail,Ryczko Kevin,Voznyy Oleksandr,Mills Kyle,Tamblyn Isaac,Sargent Edward H.","Choubisa H,Askerka M,Ryczko K,Voznyy O,Mills K,Tamblyn I,Sargent EH",Sargent EH,10.1016/j.matt.2020.04.016,University of Toronto,"Mapping materials science problems onto computational frameworks suitable for machine learning can accelerate materials discovery. Combining proposed crystal site feature embedding (CSFE) representation with convolutional and extensive deep neural networks, we achieve a low mean absolute test error of 3.7 meV/atom and 0.069 eV on density functional theory energies and band gaps of mixed halide perovskites. We explore how a small amount of cadmium doping can potentially be applied in solar cell design and sample the large chemical space by using a variational autoencoder to discover interesting perovskites with band gaps in the ultraviolet and infrared. Additionally, we use CSFE to explore chemical spaces and small doping concentrations beyond those used for training. We further show that CSFE has a mean absolute test error of 7 meV/atom and 0.13 eV for total energies and band gaps for 2D perovskites and discuss its adaptability for exploration of an even wider variety of chemical systems.","NEURAL-NETWORKS,EFFICIENT,PERFORMANCE",Article,"ELSEVIER, RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",Materials Science,,15.589,"NEURAL-NETWORKS,EFFICIENT,PERFORMANCE",MATTER,http://www.cell.com/article/S2590238520301879/pdf,
5,Classifying the valence of autobiographical memories from fMRI data,88,11-12,1261-1274,"Frid Alex,Manevitz Larry M.,Nawa Norberto Eiji","Frid A,Manevitz LM,Nawa NE",Frid A,10.1007/s10472-020-09705-3,University of Haifa,"We show that fMRI analysis using machine learning tools are sufficient to distinguish valence (i.e., positive or negative) of freely retrieved autobiographical memories in a cross-participant setting. Our methodology uses feature selection (ReliefF) in combination with boosting methods, both applied directly to data represented in voxel space. In previous work using the same data set, Nawa and Ando showed that whole-brain based classification could achieve above-chance classification accuracy only when both training and testing data came from the same individual. In a cross-participant setting, classification results were not statistically significant. Additionally, on average the classification accuracy obtained when using ReliefF is substantially higher than previous results - 81% for the within-participant classification, and 62% for the cross-participant classification. Furthermore, since features are defined in voxel space, it is possible to show brain maps indicating the regions of that are most relevant in determining the results of the classification. Interestingly, the voxels that were selected using the proposed computational pipeline seem to be consistent with current neurophysiological theories regarding the brain regions actively involved in autobiographical memory processes.","Analysis of cognitive processes,Autobiographical memories,Classification,Machine learning,Feature selection",Article,"SPRINGER, VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS","Computer Science,Mathematics",,1.126,RETRIEVAL,ANNALS OF MATHEMATICS AND ARTIFICIAL INTELLIGENCE,http://arxiv.org/pdf/1909.04390,
6,A comprehensive hierarchical classification based on multi-features of breast DCE-MRI for cancer diagnosis,58,10,2413-2425,"Liu Hui,Wang Jinke,Gao Jiyue,Liu Shanshan,Liu Xiang,Zhao Zuowei,Guo Dongmei,Dan Guo","Liu H,Wang JK,Gao JY,Liu SS,Liu X,Zhao ZW,Guo DM,Dan G",Liu H,10.1007/s11517-020-02232-7,Dalian University of Technology,"Computer-aided diagnosis (CAD) is widely used for early diagnosis of breast cancer. The commonly used morphological feature (MF), dynamic feature (DF), and texture feature (TF) from breast dynamic contrast-enhanced magnetic resonance imaging (DCE-MRI) have been proved very valuable and are studied in this paper. However, previous studies ignored the prior knowledge that most of the benign lesions have clearer and smoother edges than malignant ones. Therefore, two new TFs are proposed. To obtain an optimal feature subset and an accurate classification result, feature selection is applied in this paper. Moreover, most existing CAD models with simple structure only focus on common lesions and ignore hard-to-spot lesions so that a satisfied performance can be obtained for common lesions but there are some contradictions for those hard-to-spot lesions. Therefore, in this paper, a comprehensive hierarchical model is proposed to deal with contradictions and predict all kinds of lesions. The experimental result shows that the new features obviously increase ACC of TF from 0.7788 to 0.8584 and feature selection increases ACC of DF form 0.6991 to 0.7345. More importantly, compared with the existing CAD models and deep learning method, the proposed model which provides a higher performance for both common and hard-to-spot lesions significantly increases the classification performance with sensitivity of 0.9452 and specificity of 0.9000.","Breast cancer,Computer-aided diagnosis,Texture feature,Feature selection,Hierarchical classification model",Article,"SPRINGER HEIDELBERG, TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY","Computer Science,Engineering,Mathematical & Computational Biology,Medical Informatics",,2.61,"COMPUTER-AIDED,DIAGNOSIS,MASS",MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,,
7,A multi-class skin Cancer classification using deep convolutional neural networks,79,39-40,28477-28498,"Chaturvedi Saket S.,Tembhurne Jitendra V.,Diwan Tausif","Chaturvedi SS,Tembhurne JV,Diwan T",Tembhurne JV,10.1007/s11042-020-09388-2,"Indian Inst Informat Technol, Dept Comp Sci & Engn, Nagpur, Maharashtra, India.","Skin Cancer accounts for one-third of all diagnosed cancers worldwide. The prevalence of skin cancers have been rising over the past decades. In recent years, use of dermoscopy has enhanced the diagnostic capability of skin cancer. The accurate diagnosis of skin cancer is challenging for dermatologists as multiple skin cancer types may appear similar in appearance. The dermatologists have an average accuracy of 62% to 80% in skin cancer diagnosis. The research community has been made significant progress in developing automated tools to assist dermatologists in decision making. In this work, we propose an automated computer-aided diagnosis system for multi-class skin (MCS) cancer classification with an exceptionally high accuracy. The proposed method outperformed both expert dermatologists and contemporary deep learning methods for MCS cancer classification. We performed fine-tuning over seven classes of HAM10000 dataset and conducted a comparative study to analyse the performance of five pre-trained convolutional neural networks (CNNs) and four ensemble models. The maximum accuracy of 93.20% for individual model amongst the set of models whereas maximum accuracy of 92.83% for ensemble model is reported in this paper. We propose use of ResNeXt101 for the MCS cancer classification owing to its optimized architecture and ability to gain higher accuracy.","Skin Cancer,Dermoscopy,Classification,Deep convolutional neural network",Article,"SPRINGER, VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS","Computer Science,Engineering",,2.517,"COMPUTER-AIDED,DIAGNOSIS,ABCD,RULE,MELANOMA,LESIONS,ACCURACY,STRATEGIES,FRAMEWORK",MULTIMEDIA TOOLS AND APPLICATIONS,,
8,Overall Survival Prediction in Glioblastoma With Radiomic Features Using Machine Learning,14,,,"Baid Ujjwal,Rane Swapnil U.,Talbar Sanjay,Gupta Sudeep,Thakur Meenakshi H.,Moiyadi Aliasgar,Mahajan Abhishek","Baid U,Rane SU,Talbar S,Gupta S,Thakur MH,Moiyadi A,Mahajan A",Mahajan A,10.3389/fncom.2020.00061,Homi Bhabha National Institute,"Glioblastoma is a WHO grade IV brain tumor, which leads to poor overall survival (OS) of patients. For precise surgical and treatment planning, OS prediction of glioblastoma (GBM) patients is highly desired by clinicians and oncologists. Radiomic research attempts at predicting disease prognosis, thus providing beneficial information for personalized treatment from a variety of imaging features extracted from multiple MR images. In this study, first-order, intensity-based volume and shape-based and textural radiomic features are extracted from fluid-attenuated inversion recovery (FLAIR) and T1ce MRI data. The region of interest is further decomposed with stationary wavelet transform with low-pass and high-pass filtering. Further, radiomic features are extracted on these decomposed images, which helped in acquiring the directional information. The efficiency of the proposed algorithm is evaluated on Brain Tumor Segmentation (BraTS) challenge training, validation, and test datasets. The proposed approach achieved 0.695, 0.571, and 0.558 on BraTS training, validation, and test datasets. The proposed approach secured the third position in BraTS 2018 challenge for the OS prediction task.","brain tumor,glioblastoma,overall survival,radiomic,machine learning",Article,"FRONTIERS MEDIA SA, AVENUE DU TRIBUNAL FEDERAL 34, LAUSANNE, CH-1015, SWITZERLAND","Mathematical & Computational Biology,Neurosciences & Neurology",,2.909,SIGNATURE,FRONTIERS IN COMPUTATIONAL NEUROSCIENCE,https://www.frontiersin.org/articles/10.3389/fncom.2020.00061/pdf,
9,Enhancing the feature representation of multi-modal MRI data by combining multi-view information for MCI classification,400,,322-332,"Liu Jin,Pan Yi,Wu Fang-Xiang,Wang Jianxin","Liu J,Pan Y,Wu FX,Wang JX",Wang JX,10.1016/j.neucom.2020.03.006,Central South University,"The classification of mild cognitive impairment (MCI), which is a early stage of Alzheimer's disease and is associated with brain structural and functional changes, is still a challenging task. Recent studies have shown great promise for improving the performance of MCI classification by combining multiple structural and functional features, such as grey matter volume and clustering coefficient. However, extracting which features and how to combine multiple features to improve the performance of MCI classification have always been challenging problems. To address these problems, in this study we propose a new method to enhance the feature representation of multi-modal MRI data by combining multi-view information to improve the performance of MCI classification. Firstly, we extract two structural features (including grey matter volume and cortical thickness) and two functional features (including clustering coefficient and shortest path length) of each cortical brain region based on automated anatomical labeling (AAL) atlas from both T1w MRI and rs-fMRI data of each subject. Then, in order to obtain features that are more helpful in distinguishing MCI subjects, an improved multi-task feature selection method, namely MTES-gLASSO-TTR, is proposed. Finally, a multi-kernel learning algorithm is adopted to combine multiple features to perform the MCI classification task. Our proposed MCI classification method is evaluated on 315 subjects (including 105 LMCI subjects, 105 EMCI subjects and 105 NCs) with both T1w MRI and rs-fMRI data from the Alzheimer's Disease Neuroimaging Initiative (ADNI) database. Experimental results show that our proposed method achieves an accuracy of 88.5% and an area under the receiver operating characteristic (ROC) curve (AUC) of 0.897 for LMCl/NC classification, an accuracy of 82.7% and an AUC of 0.832 for EMCl/NC classification, and an accuracy of 79.6% and an AUC of 0.803 for LMCI/EMCI classification, respectively. In addition, by comparison, the accuracy and AUC values of our proposed method are better than those of some existing state-of-the-art methods in MCI classification. Overall, our proposed MCI classification method is effective and promising for automatic diagnosis of MCI in clinical practice. (C) 2020 Elsevier B.V. All rights reserved.","Multi-modal MRI data,Multi-view information,Multi-task feature selection,Multi-kernel learning,MCI classification",Article,"ELSEVIER, RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",Computer Science,,4.986,"MILD,COGNITIVE,IMPAIRMENT,FUNCTIONAL,CONNECTIVITY,QUANTITATIVE-ANALYSIS,NETWORK,DISEASE,DIAGNOSIS,REGRESSION,SELECTION,SUPPORT",NEUROCOMPUTING,,
10,Machine learning algorithms for the prediction of the strength of steel rods: an example of data-driven manufacturing in steelmaking,33,9,880-894,"Ruiz Estela,Ferreno Diego,Cuartas Miguel,Lopez Ana,Arroyo Valentin,Gutierrez-Solana Federico","Ruiz E,Ferreno D,Cuartas M,Lopez A,Arroyo V,Gutierrez-Solana F",Ferreno D,10.1080/0951192X.2020.1803505,Universidad de Cantabria,"Analytical models based on physical metallurgy are of limited ability to predict the strength of steel due to the complexities of steelmaking. This paper presents the results obtained using Machine Learning procedures to predict the tensile strength of steel rods manufactured in an electric arc furnace. The available dataset includes 5540 observations (tensile tests) and 97 features (fabrication parameters) monitored during the different stages of the process (electric arc furnace, ladle furnace, continuous casting and hot rolling). The following regression algorithms have been implemented: Multiple Linear Regression, K-Nearest Neighbors, Classification and Regression Tree, three Ensemble Methods (Random Forest, Gradient Boosting and Adaboost) and Artificial Neural Networks. The fine-tuned Random Forest, provided an R(2)of 0.775 and a mean absolute percentage error of 0.76% in the test dataset. After optimization, the Feature Importance and the Permutation Importance algorithms showed that chemical variables have the greater influence on the material strength. The quantitative influence of these variables was represented through Partial Dependence Plots. In short, this research has enabled validating a series of Machine Learning models that provide the necessary information for a correct decision-making to optimize the strength of the steel rods.","Machine learning,steel rod,continuous casting,mechanical strength,random Forest,gradient Boosting,artificial neural network",Article,"TAYLOR & FRANCIS LTD, 2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND","Computer Science,Engineering,Operations Research & Management Science",,3.076,"CHAINED,EQUATIONS,IMPUTATION,BEHAVIOR,MICROSTRUCTURE,CLASSIFICATION,SELECTION",INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING,,
