,title,Volume,Issue,Pages,whole__author_name,simply_author_name,reprint author,DOI,reprint address,Abstract,Keywords,Document Type,Publisher,Research Domain,Published Date,impact_factor,Keywords_plus,joural,pdf_link,Download_SuccessOrDefeat
1,Automatic Quality Assessment of Reflectance Confocal Microscopy Mosaics using Attention-Based Deep Neural Network,,,1824-1827,"Wodzinski Marek,Pajak Miroslawa,Skalski Andrzej,Witkowski Alexander,Pellacani Giovanni,Ludzik Joanna","Wodzinski M,Pajak M,Skalski A,Witkowski A,Pellacani G,Ludzik J",Wodzinski M,,AGH University of Science & Technology,"Skin cancers are the most common cancers with an increased incidence, and a valid, early diagnosis may significantly reduce its morbidity and mortality. Reflectance confocal microscopy (RCM) is a relatively new, non-invasive imaging technique that allows screening lesions at a cellular resolution. However, one of the main disadvantages of the RCM is frequently occurring artifacts which makes the diagnostic process more time consuming and hard to automate using e.g. end-to-end deep learning approach. A tool to automatically determine the RCM mosaic quality could be beneficial for both the lesion classification and informing the user (dermatologist) about its quality in real-time, during the examination procedure. In this work, we propose an attention-based deep network to automatically determine if a given RCM mosaic has an acceptable quality. We achieved accuracy above 87% on the test set which may considerably improve further classification results and the RCM-based examination.","reflectance confocal microscopy,deep learning,convolutional neural network,melanoma,skin lesion",Proceedings Paper,"IEEE, 345 E 47TH ST, NEW YORK, NY 10017 USA",Engineering,,,,,,
2,Automated circumpapillary retinal nerve fiber layer segmentation in high-resolution swept-source OCT,,,1832-1835,"Yow Ai Ping,Tan Bingyao,Chua Jacqueline,Aung Tin,Husain Rahat,Schmetterer Leopold,Wong Damon","Yow AP,Tan BY,Chua J,Aung T,Husain R,Schmetterer L,Wong D",Yow AP,,"SERI NTU Adv Ocular Engn STANCE Program, Singapore, Singapore.","Glaucoma is a progressive optic neuropathy that leads to loss of retinal ganglion cells and thinning of retinal nerve fiber layer (RNFL). Circumpapillary RNFL thickness measurements have been used for glaucoma diagnostic and monitoring purposes. However, manual measurement of the RNFL thickness is tedious and subjective. We proposed and evaluated the performance of automated RNFL segmentation from OCT images using a state-of-the-art deep learning-based model. Circumpapillary OCT scans were extracted from volumetric OCT scans using a high-resolution swept-source OCT device. Manual annotation was performed on the extracted scans and used for training and evaluation. The results show that the accuracy and diagnostic performance is comparable to manual assessment, and the potential application of deep learning-based approach in such segmentation.","OPTICAL COHERENCE TOMOGRAPHY,THICKNESS,IMAGES",Proceedings Paper,"IEEE, 345 E 47TH ST, NEW YORK, NY 10017 USA",Engineering,,,"OPTICAL,COHERENCE,TOMOGRAPHY,THICKNESS,IMAGES",,,
3,Role of the Choroid in Automated Age-related Macular Degeneration Detection from Optical Coherence Tomography Images,,,1867-1870,"Srivastava Ruchir,Ong Ee Ping,Lee Beng-Hai","Srivastava R,Ong EP,Lee BH",Srivastava R,,Agency for Science Technology & Research (ASTAR),"Automatic detection of age-related macular degeneration (AMD) from optical coherence tomography (OCT) images is often performed using the retinal layers only and choroid is excluded from the analysis. This is because symptoms of AMD manifest in the choroid only in the later stages and clinical literature is divided over the role of the choroid in detecting earlier stages of AMD. However, more recent clinical research suggests that choroid is affected at a much earlier stage. In the proposed work, we experimentally verify the effect of including the choroid in detecting AMD from OCT images at an intermediate stage. We propose a deep learning framework for AMD detection and compare its accuracies with and without including the choroid. Results suggest that including the choroid improves the AMD detection accuracy. In addition, the proposed method achieves an accuracy of 96.78% which is comparable to the state-of-the-art works.","EDEMA,CLASSIFICATION,AMD",Proceedings Paper,"IEEE, 345 E 47TH ST, NEW YORK, NY 10017 USA",Engineering,,,"EDEMA,CLASSIFICATION,AMD",,,
4,Localization of Anatomical Features in Vascular-enhanced Enface OCT Images,,,1875-1878,"Wong Damon W. K.,Yow Ai Ping,Tan Bingyao,Yao Xinwen,Chua Jacqueline,Schmetterer Leopold","Wong DWK,Yow AP,Tan BY,Yao XW,Chua J,Schmetterer L",Wong DWK,,"SERI NTU Adv Ocular Engn STANCE Program, Singapore, Singapore.","Optical coherence tomography (OCT) allows in vivo volumetric imaging of the eye. Identification and localization of anatomical features in enface OCT are important steps in OCT-based image analysis. However the visibility of anatomical features in both structural OCT or vascular OCT angiography is limited. In this paper, we propose to use vascular-enhanced enface OCT image for the concurrent detection of anatomical features, using a FasterRCNN object detection framework based on convolutional networks. Transfer learning was applied to adapt pre-trained models as the backbone networks. Models were evaluated on a dataset of 419 images. The results showed that VGG-FasterRCNN achieved a mean average precision 0.77, with localization errors of 0.18 +/- 0.10 mm and 0.24 +/- 0.13 mm for the macula and optic disc respectively. The results are promising and suggest that this network could potentially be used to automatically and concurrently detect anatomical features.",,Proceedings Paper,"IEEE, 345 E 47TH ST, NEW YORK, NY 10017 USA",Engineering,,,,,,
5,Super-resolution technology to simultaneously improve optical & digital resolution of optical coherence tomography via deep learning,,,1879-1882,"Cao Shengting,Yao Xinwen,Koirala Nischal,Brott Brigitta,Litovsky Silvio,Ling Yuye,Gan Yu","Cao ST,Yao XW,Koirala N,Brott B,Litovsky S,Ling YY,Gan Y",Gan Y,,University of Alabama System,"Optical coherence tomography (OCT) has stimulated a wide range of medical image-based diagnosis and treatment. In cardiac imaging, OCT has been used in assessing plaques before and after stenting. While needed in many scenarios, high resolution comes at the costs of demanding optical design and data storage/transmission. In OCT, there are two types of resolutions to characterize image quality: optical and digital resolutions. Although multiple existing works have heavily emphasized on improving the digital resolution, the studies on improving optical resolution or both resolutions remain scarce. In this paper, we focus on improving both resolutions. In particular, we investigate a deep learning method to address the problem of generating a high-resolution (HR) OCT image from a low optical and low digital resolution ((LR)-R-2) image. To this end, we have modified the existing super-resolution generative adversarial network (SR-GAN) for OCT image reconstruction. Experimental results from the human coronary OCT images have demonstrated that the reconstructed images from highly compressed data could achieve high structural similarity and accuracy in comparison with the HR images. Besides, our method has obtained better denoising performance than the block-matching and 3D filtering ( BM3D) and Denoising Convolutional Neural Networks (DnCNN) denoising method.",IMAGES,Proceedings Paper,"IEEE, 345 E 47TH ST, NEW YORK, NY 10017 USA",Engineering,,,IMAGES,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8116943,
6,OrgaNet: A Robust Network for Subcellular Organelles Classification in Fluorescence Microscopy Images,,,1887-1890,"Duc Hoa Tran,Meunier Michel,Cheriet Farida","Tran DH,Meunier M,Cheriet F",Tran DH,,University of Montreal,"Automatic identification of subcellular compartments of proteins in fluorescence microscopy images is an important task to quantitatively evaluate cellular processes. A common problem for the development of deep learning based classifiers is that there is only a limited number of labeled images available for training. To address this challenge, we propose a new approach for subcellular organelles classification combining an effective and efficient architecture based on a compact Convolutional Neural Network and deep embedded clustering algorithm. We validate our approach on a benchmark of HeLa cell microscopy images. The network both yields high accuracy that outperforms state of the art methods and has significantly small number of parameters. More interestingly, experimental results show that our method is strongly robust against limited labeled data for training, requiring four times less annotated data than usual while maintaining the high accuracy of 93.9%.",,Proceedings Paper,"IEEE, 345 E 47TH ST, NEW YORK, NY 10017 USA",Engineering,,,,,,
7,Deep Learning in ex-vivo Lung Cancer Discrimination using Fluorescence Lifetime Endomicroscopic Images,,,1891-1894,"Wang Qiang,Hopgood James R.,Finlayson Neil,Williams Gareth O. S.,Fernandes Susan,Williams Elvira,Akram Ahsan,Dhaliwal Kevin,Vallejo Marta","Wang Q,Hopgood JR,Finlayson N,Williams GOS,Fernandes S,Williams E,Akram A,Dhaliwal K,Vallejo M",Vallejo M,,Heriot Watt University,"Fluorescence lifetime is effective in discriminating cancerous tissue from normal tissue, but conventional discrimination methods are primarily based on statistical approaches in collaboration with prior knowledge. This paper investigates the application of deep convolutional neural networks (CNNs) for automatic differentiation of ex-vivo human lung cancer via fluorescence lifetime imaging. Around 70,000 fluorescence images from ex-vivo lung tissue of 14 patients were collected by a custom fibre-based fluorescence lifetime imaging endomi-croscope. Five state-of-the-art CNN models, namely ResNet, ResNeXt, Inception, Xception, and DenseNet, were trained and tested to derive quantitative results using accuracy, precision, recall, and the area under receiver operating characteristic curve (AUC) as the metrics. The CNNs were firstly evaluated on lifetime images. Since fluorescence lifetime is independent of intensity, further experiments were conducted by stacking intensity and lifetime images together as the input to the CNNs. As the original CNNs were implemented for RGB images, two strategies were applied. One was retaining the CNNs by putting intensity and lifetime images in two different channels and leaving the remaining channel blank. The other was adapting the CNNs for two-channel input. Quantitative results demonstrate that the selected CNNs are considerably superior to conventional machine learning algorithms. Combining intensity and lifetime images introduces noticeable performance gain compared with using lifetime images alone. In addition, the CNNs with intensity-lifetime RGB image is comparable to the modified two-channel CNNs with intensity-lifetime twochannel input for accuracy and AUC, but significantly better for precision and recall.",,Proceedings Paper,"IEEE, 345 E 47TH ST, NEW YORK, NY 10017 USA",Engineering,,,,,,
8,Human Breast Numerical Model Generation Based on Deep Learning for Photoacoustic Imaging,,,1919-1922,"Ma Yaxin,Yang Changchun,Zhang Juze,Wang Yiyun,Gao Feng,Gao Fei","Ma YX,Yang CC,Zhang JZ,Wang YY,Gao F,Gao F",Gao F,,ShanghaiTech University,"Photoacoustic imaging which combines high contrast of optical imaging and high resolution of ultrasound imaging, can provide functional information, potentially playing a crucial role in the study of breast cancer diagnostics. However, open source dataset for PA imaging research is insufficient on account of lacking clinical data. To tackle this problem, we propose a method to automatically generate breast numerical model for photoacoustic imaging. The different type of tissues is automatically extracted first by employing deep learning and other methods from mammography. And then the tissues are combined by mathematical set operation to generate a new breast image after being assigned optical and acoustic parameters. Finally, breast numerical model with proper optical and acoustic properties are generated, which are specifically suitable for PA imaging studies, and the experiment results indicate that our method is feasible with high efficiency.",TOMOGRAPHY,Proceedings Paper,"IEEE, 345 E 47TH ST, NEW YORK, NY 10017 USA",Engineering,,,TOMOGRAPHY,,,
9,Towards an automated classification method for ureteroscopic kidney stone images using ensemble learning,,,1936-1939,"Martinez Adriana,Dinh-Hoan Trinh,El Beze Jonathan,Hubert Jacques,Eschwege Pascal,Estrade Vincent,Aguilar Lina,Daul Christian,Ochoa Gilberto","Martinez A,Trinh DH,El Beze J,Hubert J,Eschwege P,Estrade V,Aguilar L,Daul C,Ochoa G",Martinez A,,Universidad Autonoma de Guadalajara,"Urolithiasis is a common disease around the world and its incidence has been growing every year. There are various diagnosis techniques based on kidney stone identification aiming to find the formation cause. However, most of them are time consuming, tedious and expensive. The accuracy of the diagnosis is crucial for the prescription of an appropriate treatment that can eliminate the stones and diminish future relapses. This paper presents two effective supervised learning methods to automate and improve the accuracy of the classification of kidney stones; as well as a dataset consisting of kidney stone images captured with ureteroscopes. In the proposed methods, the image features that are visually exploited by urologists to distinguish the type of kidney stones are analyzed and encoded as vectors. Then, the classification is performed on these feature vectors through Random Forest and ensemble K Nearest Neighbor classifiers. The overall classification accuracy obtained was 89%, outperforming previous methods by more than 10%. The details of the classifier implementation, as well as their performance and accuracy, are presented and discussed. Finally, future work and improvements are proposed.",,Proceedings Paper,"IEEE, 345 E 47TH ST, NEW YORK, NY 10017 USA",Engineering,,,,,,
10,Deep Convolutional Neural Network Ensembles For Multi-Classification of Skin Lesions From Dermoscopic and Clinical Images,,,1940-1943,"Reisinho Jose,Coimbra Miguel,Renna Francesco","Reisinho J,Coimbra M,Renna F",Reisinho J,,Universidade do Porto,"In this paper, we consider the problem of classifying skin lesions into multiple classes using both dermoscopic and clinical images. Different convolutional neural network architectures are considered for this task and a novel ensemble scheme is proposed, which makes use of a progressive transfer learning strategy.
The proposed approach is tested over a dataset of 4000 images containing both dermoscopic and clinical examples and it is shown to achieve an average specificity of 93.3% and an average sensitivity of 79.9% in discriminating skin lesions belonging to four different classes.","DERMATOLOGISTS,CANCER",Proceedings Paper,"IEEE, 345 E 47TH ST, NEW YORK, NY 10017 USA",Engineering,,,"DERMATOLOGISTS,CANCER",,,
