,title,Volume,Issue,Pages,whole__author_name,simply_author_name,reprint author,DOI,reprint address,Abstract,Keywords,Document Type,Publisher,Research Domain,Published Date,impact_factor,Keywords_plus,joural,pdf_link,Download_SuccessOrDefeat
1,K-Means clustering and neural network for object detecting and identifying abnormality of brain tumor,23,19,9083-9096,"Arunkumar N.,Mohammed Mazin Abed,Abd Ghani Mohd Khanapi,Ibrahim Dheyaa Ahmed,Abdulhay Enas,Ramirez-Gonzalez Gustavo,de Albuquerque Victor Hugo C.","Arunkumar N,Mohammed MA,Abd Ghani MK,Ibrahim DA,Abdulhay E,Ramirez-Gonzalez G,de Albuquerque VHC",Mohammed MA,10.1007/s00500-018-3618-7,Universiti Teknologi Malaysia,"Brain tumor diagnosis is a challenging and difficult process in view of the assortment of conceivable shapes, regions, and image intensities. The pathological detection and identification of brain tumor and comparison among normal and abnormal tissues need grouped scientific techniques for features extraction, displaying, and measurement of the disease images. Our study shows an improved automated brain tumor segmentation and identification approach using ANN from MR images without human mediation by applying the best attributes toward preparatory brain tumor case revelation. To obtain the exact district region of brain tumor from MR images, we propose a brain tumor segmentation technique that has three noteworthy improvement focuses. To begin with, K-means clustering will be utilized as a part of the principal organization in the process of improving the MR image to be marked in the districts regions in light of their gray scale. Second, ANN is utilized to choose the correct object in view of training phase. Third, texture feature of brain tumor area will be extracted to the division stage. With respect to the brain tumor identification, the grayscale features are utilized to analyze and diagnose the brain tumor to differentiate the benign and malignant cases. According to the study results demonstrated that: (1) enhancement adaptive strategy was utilized as post-processing in brain tumor identification; (2) identify and build an assessment foundation of automated segmentation and identification for brain tumor cases; (3) highlight the methods based on region growing method and K-means clustering technique to select the best region; and (4) evaluate the proficiency of the foreseen outcomes by comparing ANN and SVM segmentation outcomes, and brain tumor cases classification. The ANN approach classifier recorded accuracy of 94.07% with line assumption (brain tumor cases classification) and sensitivity of 90.09% and specificity of 96.78%.","Brain tumor,Image segmentation,Automatic segmentation,Brain identification,Artificial neural networks,K-Means clustering,Magnetic resonance images",Article,"SPRINGER, ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES",Computer Science,,3.518,"SEGMENTATION,CLASSIFICATION,SYSTEM,IMAGES",SOFT COMPUTING,,
2,Strength prediction of similar materials to ionic rare earth ores based on orthogonal test and back propagation neural network,23,19,9429-9437,"Zhong Wen,Deng Yunchuan,Tenreiro Machado J. A.,Zhang Chao,Zhao Kui,Wang Xiaojun","Zhong W,Deng YC,Machado JAT,Zhang C,Zhao K,Wang XJ",Zhong W,10.1007/s00500-019-03833-7,Jiangxi University of Science & Technology,"This paper aims to predict the strength of materials similar to the ionic rare earth (IRE) ores [hereinafter referred as similar materials (SM)]. A 4 x Y x 2 back propagation neural network (BPNN) prediction model, based on 18 groups of samples of the SM with different mix proportions, was used to describe their strength. The BPNN modelling scheme includes four input layer neurons, representing the amounts of kaolinite, potassium feldspar, anorthose and mica, and two output layer neurons corresponding to the strength indices c and phi of the samples after 6 h leaching. Comparing the training and prediction errors, it is verified that the error in predicted strength is minimized when the number of hidden layer neurons Y equals 9. The correlation coefficient R of the prediction model is as high as 0.998, and the maximum relative errors of the strength indices (c and phi) are 4.11% and 4.26%, respectively. Orthogonal tests show that the BPNN is a reliable and accurate method to predict the strength of SM. Featuring uniform dispersion, comparability and nonlinear optimization, the proposed method sheds further light on the strength prediction of IRE ores.","Back propagation neural network (BPNN),Orthogonal test,Ionic rare earth (IRE),Similar materials (SM),Strength prediction",Article,"SPRINGER, 233 SPRING ST, NEW YORK, NY 10013 USA",Computer Science,,3.518,"UNCONFINED,COMPRESSIVE,STRENGTH,CONCRETE,OPTIMIZATION,MODELS",SOFT COMPUTING,,
3,Fingerprint liveness detection using local quality features,35,10,1393-1410,"Sharma Ram Prakash,Dey Somnath","Sharma RP,Dey S",Sharma RP,10.1007/s00371-018-01618-x,Indian Institute of Technology System (IIT System),"Fingerprint-based recognition is widely deployed in different domains. However, current recognition systems are vulnerable to presentation attack. Presentation attack utilizes an artificial replica of a fingerprint to deceive the sensors. In such scenarios, fingerprint liveness detection is required to ensure the actual presence of a live fingerprint. In this paper, we propose a static software-based approach using quality features to detect the liveness in a fingerprint image. The proposed method extracts eight sensor-independent quality features from the detailed ridge-valley structure of a fingerprint at the local level to form a 13-dimensional feature vector. Sequential Forward Floating Selection and Random Forest Feature Selection are used to select the optimal feature set from the created feature vector. To classify fake and live fingerprints, we have used support vector machine, random forest, and gradient boosted tree classifiers. The proposed method is tested on a publically available database of LivDet 2009 competition. The experimental results demonstrate that the least average classification error of 5.3% is achieved on LivDet 2009 database, exhibiting supremacy of the proposed method over current state-of-the-art approaches. Additionally, we have analyzed the importance of individual features on LivDet 2009 database, and effectiveness of the best-performing features is evaluated on LivDet 2011, 2013, and 2015 databases. The obtained results depict that the proposed approach is able to perform well irrespective of the different sensors and materials used in these databases. Further, the proposed method utilizes a single fingerprint image. This characteristic makes our method more user-friendly, faster, and less intrusive.","Biometrics,Presentation attack detection,Fingerprint liveness,Quality features",Article,"SPRINGER, ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES",Computer Science,,2.081,"CLASSIFICATION,PERSPIRATION,RECOGNITION,IRIS",VISUAL COMPUTER,http://arxiv.org/pdf/1806.02974,
4,Machine learning-based texture analysis for differentiation of large adrenal cortical tumours on CT,74,10,,"Elmohr M. M.,Fuentes D.,Habra M. A.,Bhosale P. R.,Qayyum A. A.,Gates E.,Morshid A. I,Hazle J. D.,Elsayes K. M.","Elmohr MM,Fuentes D,Habra MA,Bhosale PR,Qayyum AA,Gates E,Morshid AI,Hazle JD,Elsayes KM",Elsayes KM,10.1016/j.crad.2019.06.021,University of Texas System,"AIM: To compare the efficacy of computed tomography (CT) texture analysis and conventional evaluation by radiologists for differentiation between large adrenal adenomas and carcinomas.
MATERIALS AND METHODS: Quantitative CT texture analysis was used to evaluate 54 histopathologically proven adrenal masses (mean size=5.9 cm; range=4.1-10 cm) from 54 patients referred to Anderson Cancer Center from January 2002 through April 2014. The patient group included 32 women (mean age at mass evaluation=59 years) and 22 men (mean age at mass evaluation=61 years). Adrenal lesions seen on precontrast and venous-phase CT images were labelled by three different readers, and the labels were used to generate intensity- and geometry-based textural features. The textural features and the attenuation values were considered as input values for a random forest-based classifier. Similarly, the adrenal lesions were classified by two different radiologists based on morphological criteria. Prediction accuracy and interobserver agreement were compared.
RESULTS: The textural predictive model achieved a mean accuracy of 82%, whereas the mean accuracy for the radiologists was 68.5% (p<0.0001). The interobserver agreements between the predictive model and radiologists 1 and 2 were 0.44 (p<0.0005; 95% confidence interval [CI]: 0.25-0.62) and 0.47 (p<0.0005; 95% CI: 0.28-0.66), respectively. The Dice similarity coefficient between the readers' image labels was 0.875 +/- 0.04.
CONCLUSION: CT texture analysis of large adrenal adenomas and carcinomas is likely to improve CT evaluation of adrenal cortical tumours. (C) 2019 Published by Elsevier Ltd on behalf of The Royal College of Radiologists.","ADRENOCORTICAL CARCINOMA,UNENHANCED CT,MASSES,INCIDENTALOMAS,CANCER,SEGMENTATION,PREVALENCE,MANAGEMENT,SELECTION",Article,"W B SAUNDERS CO LTD, 32 JAMESTOWN RD, LONDON NW1 7BY, ENGLAND","Radiology, Nuclear Medicine & Medical Imaging",,2.597,"ADRENOCORTICAL,CARCINOMA,UNENHANCED,CT,MASSES,INCIDENTALOMAS,CANCER,SEGMENTATION,PREVALENCE,MANAGEMENT,SELECTION",CLINICAL RADIOLOGY,,
5,Automatic classification of ultrasound breast lesions using a deep convolutional neural network mimicking human decision-making,29,10,5458-5468,"Ciritsis Alexander,Rossi Cristina,Eberhard Matthias,Marcon Magda,Becker Anton S.,Boss Andreas","Ciritsis A,Rossi C,Eberhard M,Marcon M,Becker AS,Boss A",Ciritsis A,10.1007/s00330-019-06118-7,"Univ Hosp Zurich, Inst Diagnost & Intervent Radiol, Ramistr 100, CH-8091 Zurich, Switzerland.","Objectives To evaluate a deep convolutional neural network (dCNN) for detection, highlighting, and classification of ultrasound (US) breast lesions mimicking human decision-making according to the Breast Imaging Reporting and Data System (BI-RADS). Methods and materials One thousand nineteen breast ultrasound images from 582 patients (age 56.3 +/- 11.5 years) were linked to the corresponding radiological report. Lesions were categorized into the following classes: no tissue, normal breast tissue, BI-RADS 2 (cysts, lymph nodes), BI-RADS 3 (non-cystic mass), and BI-RADS 4-5 (suspicious). To test the accuracy of the dCNN, one internal dataset (101 images) and one external test dataset (43 images) were evaluated by the dCNN and two independent readers. Radiological reports, histopathological results, and follow-up examinations served as reference. The performances of the dCNN and the humans were quantified in terms of classification accuracies and receiver operating characteristic (ROC) curves. Results In the internal test dataset, the classification accuracy of the dCNN differentiating BI-RADS 2 from BI-RADS 3-5 lesions was 87.1% (external 93.0%) compared with that of human readers with 79.2 +/- 1.9% (external 95.3 +/- 2.3%). For the classification of BI-RADS 2-3 versus BI-RADS 4-5, the dCNN reached a classification accuracy of 93.1% (external 95.3%), whereas the classification accuracy of humans yielded 91.6 +/- 5.4% (external 94.1 +/- 1.2%). The AUC on the internal dataset was 83.8 (external 96.7) for the dCNN and 84.6 +/- 2.3 (external 90.9 +/- 2.9) for the humans. Conclusion dCNNs may be used to mimic human decision-making in the evaluation of single US images of breast lesion according to the BI-RADS catalog. The technique reaches high accuracies and may serve for standardization of highly observer-dependent US assessment.","Ultrasound,Breast,Artificial intelligence,Machine learning",Article,"SPRINGER, 233 SPRING ST, NEW YORK, NY 10013 USA","Radiology, Nuclear Medicine & Medical Imaging",,4.87,"BI-RADS,CANCER,MAMMOGRAPHY,FEATURES,NODULES,BENIGN,BIOPSY,IMAGES,WOMEN",EUROPEAN RADIOLOGY,,
6,A radiomics nomogram based on multiparametric MRI might stratify glioblastoma patients according to survival,29,10,5528-5538,"Zhang Xi,Lu Hongbing,Tian Qiang,Feng Na,Yin Lulu,Xu Xiaopan,Du Peng,Liu Yang","Zhang X,Lu HB,Tian Q,Feng N,Yin LL,Xu XP,Du P,Liu Y",Liu Y,10.1007/s00330-019-06069-z,Air Force Military Medical University,"Objectives To construct a radiomics nomogram for the individualized estimation of the survival stratification in glioblastoma (GBM) patients using the multiregional information extracted from multiparametric MRI, which could facilitate the clinical decision-making for GBM patients. Materials and methods A total of 105 eligible GBM patients (57 in the long-term and 48 in the short-term survival groups, separated by an overall survival of 12 months) were selected from the Cancer Genome Atlas. These patients were divided into a training set (n = 70) and a validation set (n = 35). Radiomics features (n = 4000) were extracted from multiple regions of the GBM using multiparametric MRI. Then, a radiomics signature was constructed using least absolute shrinkage and selection operator regression for each patient in the training set. Combined with clinical risk factors, a radiomics nomogram was constructed based on a multivariate logistic regression model. The performance of this radiomics nomogram was assessed by calibration, discrimination, and clinical usefulness. Results The radiomics signature consisted of 25 selected features and performed better than clinical risk factors (i.e., age, Karnofsky performance status, and treatment strategy) in survival stratification. When the radiomics signature and clinical risk factors were combined, the radiomics nomogram exhibited promising discrimination in the training (C-index, 0.971) and validation (C-index, 0.974) sets. The favorable calibration and decision curve analysis indicated the clinical usefulness of the radiomics nomogram. Conclusions The presented radiomics nomogram, as a non-invasive prediction tool, could exhibit a favorable predictive accuracy and provide individualized probabilities of survival stratification for GBM patients.","Multiparametric MRI,Glioblastoma,Machine learning,Nomogram",Article,"SPRINGER, 233 SPRING ST, NEW YORK, NY 10013 USA","Radiology, Nuclear Medicine & Medical Imaging",,4.87,"NEWLY-DIAGNOSED,GLIOBLASTOMA,PROGNOSTIC-FACTORS,PREDICTION,FEATURES,HETEROGENEITY,ONCOLOGY,GLIOMA",EUROPEAN RADIOLOGY,,
7,Machine Learning-Based Failure Mode Recognition of Circular Reinforced Concrete Bridge Columns: Comparative Study,145,10,,"Mangalathu Sujith,Jeon Jong-Su","Mangalathu S,Jeon JS",Jeon JS,10.1061/(ASCE)ST.1943-541X.0002402,Hanyang University,"The prediction of failure mode of columns is critical in deciding the operational and recovery strategies of a bridge after a seismic event. This paper contributes to the critical need of failure mode prediction for circular reinforced concrete bridge columns by exploring the capabilities of machine learning methods. Three types of failure mode such as flexure, flexure-shear, and shear are considered in this study, and 311 specimens are compiled from experimental studies on the circular columns. The efficiency of various machine learning models such as quadratic discriminant analysis, K-nearest neighbors, decision trees, random forests, naive Bayes, and artificial neural network is evaluated using a randomly assigned test set from the collected data. It is noted that artificial neural network has superior performance amongst all the machine-learning methods, and the comparison of this classification with the existing methods underscores the advantage of the artificial neural network in failure mode recognition. Classification based on artificial neural network is 91% accurate in identifying the failure mode of the collected experimental data.","Failure mode classification,Machine learning,Artificial neural network,Experimental data,Circular reinforced concrete bridge columns",Article,"ASCE-AMER SOC CIVIL ENGINEERS, 1801 ALEXANDER BELL DR, RESTON, VA 20191-4400 USA","Construction & Building Technology,Engineering",,3.82,"ARTIFICIAL,NEURAL-NETWORKS,SEISMIC,SHEAR-STRENGTH,CLASSIFICATION,PERFORMANCE",JOURNAL OF STRUCTURAL ENGINEERING,,
8,Biometric identification of listener identity from frequency following responses to speech,16,5,,"Llanos Fernando,Xie Zilong,Chandrasekaran Bharath","Llanos F,Xie ZL,Chandrasekaran B",Llanos F,10.1088/1741-2552/ab1e01,Pennsylvania Commonwealth System of Higher Education (PCSHE),"Objective. We investigate the biometric specificity of the frequency following response (FFR), an EEG marker of early auditory processing that reflects phase-locked activity from neural ensembles in the auditory cortex and subcortex (Chandrasekaran and Kraus 2010, Bidelman, 2015a, 2018, Coffey et al 2017b). Our objective is two-fold: demonstrate that the FFR contains information beyond stimulus properties and broad group-level markers, and to assess the practical viability of the FFR as a biometric across different sounds, auditory experiences, and recording days. Approach. We trained the hidden Markov model (HMM) to decode listener identity from FFR spectro-temporal patterns across multiple frequency bands. Our dataset included FFRs from twenty native speakers of English or Mandarin Chinese (10 per group) listening to Mandarin Chinese tones across three EEG sessions separated by days. We decoded subject identity within the same auditory context (same tone and session) and across different stimuli and recording sessions. Main results. The HMM decoded listeners for averaging sizes as small as one single FFR. However, model performance improved for larger averaging sizes (e.g. 25 FFRs), similarity in auditory context (same tone and day), and lack of familiarity with the sounds (i.e. native English relative to native Chinese listeners). Our results also revealed important biometric contributions from frequency bands in the cortical and subcortical EEG. Significance. Our study provides the first deep and systematic biometric characterization of the FFR and provides the basis for biometric identification systems incorporating this neural signal.","biometric identification system,frequency following response,electroencephalogram,neural plasticity,machine learning,hidden Markov model",Article,"IOP PUBLISHING LTD, TEMPLE CIRCUS, TEMPLE WAY, BRISTOL BS1 6BE, ENGLAND","Engineering,Neurosciences & Neurology",,5.484,"HUMAN,BRAIN-STEM,HIDDEN,MARKOV-MODELS,HUMAN,ELECTROENCEPHALOGRAM,PERSON,AUTHENTICATION,NEURAL,REPRESENTATION,GENETIC,INFLUENCES,PITCH,CONTOURS,EEG,SCALP,ROC",JOURNAL OF NEURAL ENGINEERING,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7244000,
9,SpikeDeeptector: a deep-learning based method for detection of neural spiking activity,16,5,,"Saif-ur-Rehman Muhammad,Lienkaemper Robin,Parpaley Yaroslav,Wellmer Joerg,Liu Charles,Lee Brian,Kellis Spencer,Andersen Richard,Iossifidis Ioannis,Glasmachers Tobias","Saif-ur-Rehman M,Lienkamper R,Parpaley Y,Wellmer J,Liu C,Lee B,Kellis S,Andersen R,Iossifidis I,Glasmachers T",Klaes C,10.1088/1741-2552/ab1e63,Ruhr University Bochum,"Objective. In electrophysiology, microelectrodes are the primary source for recording neural data (single unit activity). These microelectrodes can be implanted individually or in the form of arrays containing dozens to hundreds of channels. Recordings of some channels contain neural activity, which are often contaminated with noise. Another fraction of channels does not record any neural data, but only noise. By noise, we mean physiological activities unrelated to spiking, including technical artifacts and neural activities of neurons that are too far away from the electrode to be usefully processed. For further analysis, an automatic identification and continuous tracking of channels containing neural data is of great significance for many applications, e.g. automated selection of neural channels during online and offline spike sorting. Automated spike detection and sorting is also critical for online decoding in brain-computer interface (BCI) applications, in which only simple threshold crossing events are often considered for feature extraction. To our knowledge, there is no method that can universally and automatically identify channels containing neural data. In this study, we aim to identify and track channels containing neural data from implanted electrodes, automatically and more importantly universally. By universally, we mean across different recording technologies, different subjects and different brain areas. Approach. We propose a novel algorithm based on a new way of feature vector extraction and a deep learning method, which we call SpikeDeeptector. SpikeDeeptector considers a batch of waveforms to construct a single feature vector and enables contextual learning. The feature vectors are then fed to a deep learning method, which learns contextualized, temporal and spatial patterns, and classifies them as channels containing neural spike data or only noise. Main results. We trained the model of SpikeDeeptector on data recorded from a single tetraplegic patient with two Utah arrays implanted in different areas of the brain. The trained model was then evaluated on data collected from six epileptic patients implanted with depth electrodes, unseen data from the tetraplegic patient and data from another tetraplegic patient implanted with two Utah arrays. The cumulative evaluation accuracy was 97.20% on 1.56 million hand labeled test inputs. Significance. The results demonstrate that SpikeDeeptector generalizes not only to the new data, but also to different brain areas, subjects, and electrode types not used for training.","deep learning,convolutional neural networks,contextual learning,brain-computer interface,spike sorting",Article,"IOP PUBLISHING LTD, TEMPLE CIRCUS, TEMPLE WAY, BRISTOL BS1 6BE, ENGLAND","Engineering,Neurosciences & Neurology",,5.484,"REPRESENTATIONS,CLASSIFICATION,ALGORITHMS,NEURONS",JOURNAL OF NEURAL ENGINEERING,https://doi.org/10.1088/1741-2552/ab1e63,
10,Multi-objective optimization of interatomic potentials with application to MgO,27,7,,"Ragasa E. J.,O'Brien C. J.,Hennig R. G.,Foiles S. M.,Phillipot S. R.","Ragasa EJ,O'Brien CJ,Hennig RG,Foiles SM,Phillipot SR",Phillipot SR,10.1088/1361-651X/ab28d9,State University System of Florida,"The parameterization of a functional form for an interatomic potential is treated as a problem in multi-objective optimization. An autonomous, machine-learning approach based on the identification of the Pareto hyper-surface of errors in predicted properties allows the development of an ensemble of parameterizations with high materials fidelity and robustness. The efficacy of this approach is illustrated for the simple example of a Buckingham potential for MgO. This approach also provides a strong foundation for uncertainty quantification of potential parameterizations.","interatomic potential,atomic-level simulation,Pareto optimization,rational design",Article,"IOP PUBLISHING LTD, TEMPLE CIRCUS, TEMPLE WAY, BRISTOL BS1 6BE, ENGLAND","Materials Science,Physics",,2.439,"EMBEDDED-ATOM,METHOD,INITIO,MOLECULAR-DYNAMICS,SIMULATION,ENERGY,TRANSITION,GENERATION,DERIVATION,ORDER",MODELLING AND SIMULATION IN MATERIALS SCIENCE AND ENGINEERING,https://www.osti.gov/biblio/1544803,
